target,weight,source,type
33077,1,33052,Undirected
41953,1,33052,Undirected
50052,15,33052,Undirected
63135,1,33052,Undirected
208140,1,33052,Undirected
208146,2,33052,Undirected
208153,2,33052,Undirected
208177,5,33052,Undirected
208206,4,33052,Undirected
208234,4,33052,Undirected
208313,8,33052,Undirected
208316,1,33052,Undirected
208321,1,33052,Undirected
208327,3,33052,Undirected
208340,1,33052,Undirected
208414,6,33052,Undirected
208421,1,33052,Undirected
208474,1,33052,Undirected
208477,5,33052,Undirected
208501,2,33052,Undirected
208521,4,33052,Undirected
208597,1,33052,Undirected
208636,1,33052,Undirected
208658,1,33052,Undirected
208746,2,33052,Undirected
208788,2,33052,Undirected
208835,1,33052,Undirected
208863,1,33052,Undirected
209001,2,33052,Undirected
209026,2,33052,Undirected
209080,4,33052,Undirected
209089,1,33052,Undirected
209343,1,33052,Undirected
209401,1,33052,Undirected
209628,1,33052,Undirected
209698,1,33052,Undirected
210041,1,33052,Undirected
211046,2,33052,Undirected
211048,2,33052,Undirected
428681,1,33052,Undirected
50052,1,49673,Undirected
63135,1,50052,Undirected
128676,1,50052,Undirected
208127,1,50052,Undirected
208153,2,50052,Undirected
208177,2,50052,Undirected
208206,5,50052,Undirected
208234,4,50052,Undirected
208313,4,50052,Undirected
208316,1,50052,Undirected
208321,1,50052,Undirected
208323,1,50052,Undirected
208327,4,50052,Undirected
208421,2,50052,Undirected
208477,2,50052,Undirected
208501,2,50052,Undirected
208507,1,50052,Undirected
208521,2,50052,Undirected
208597,1,50052,Undirected
208636,1,50052,Undirected
208666,1,50052,Undirected
208803,1,50052,Undirected
209026,2,50052,Undirected
209080,3,50052,Undirected
209089,2,50052,Undirected
209194,1,50052,Undirected
209233,1,50052,Undirected
209288,1,50052,Undirected
209343,1,50052,Undirected
209348,1,50052,Undirected
209401,1,50052,Undirected
209565,1,50052,Undirected
209647,1,50052,Undirected
209677,1,50052,Undirected
209777,1,50052,Undirected
209782,1,50052,Undirected
209805,1,50052,Undirected
210041,1,50052,Undirected
211046,2,50052,Undirected
211048,2,50052,Undirected
428681,1,50052,Undirected
59088,1,55999,Undirected
208185,3,55999,Undirected
208748,1,55999,Undirected
210081,1,55999,Undirected
210288,1,55999,Undirected
210609,1,55999,Undirected
208136,1,68755,Undirected
208210,1,68755,Undirected
208307,2,68755,Undirected
75873,2,75838,Undirected
76013,1,75838,Undirected
208076,10,75838,Undirected
208077,8,75838,Undirected
208088,4,75838,Undirected
208129,1,75838,Undirected
208130,5,75838,Undirected
208131,4,75838,Undirected
208192,1,75838,Undirected
208204,7,75838,Undirected
208208,1,75838,Undirected
208223,6,75838,Undirected
208295,7,75838,Undirected
208366,1,75838,Undirected
208371,1,75838,Undirected
208377,1,75838,Undirected
208400,3,75838,Undirected
208417,1,75838,Undirected
208787,1,75838,Undirected
208816,1,75838,Undirected
209083,2,75838,Undirected
209273,1,75838,Undirected
209537,1,75838,Undirected
209615,1,75838,Undirected
210035,1,75838,Undirected
210502,1,75838,Undirected
440698,1,75838,Undirected
76013,1,75873,Undirected
76024,1,76016,Undirected
83384,2,76016,Undirected
114634,1,76016,Undirected
127178,2,76016,Undirected
128734,1,76016,Undirected
137726,2,76016,Undirected
193387,1,76016,Undirected
194084,1,76016,Undirected
208401,1,76016,Undirected
208420,4,76016,Undirected
208445,5,76016,Undirected
208475,1,76016,Undirected
208515,3,76016,Undirected
208606,3,76016,Undirected
208670,2,76016,Undirected
208734,1,76016,Undirected
208884,2,76016,Undirected
208892,2,76016,Undirected
208920,1,76016,Undirected
208922,1,76016,Undirected
208939,1,76016,Undirected
209187,1,76016,Undirected
209196,1,76016,Undirected
209197,1,76016,Undirected
209262,1,76016,Undirected
209318,1,76016,Undirected
209370,1,76016,Undirected
209503,1,76016,Undirected
209569,1,76016,Undirected
209660,1,76016,Undirected
209748,1,76016,Undirected
209933,1,76016,Undirected
209938,1,76016,Undirected
209948,1,76016,Undirected
209976,1,76016,Undirected
210015,1,76016,Undirected
210046,1,76016,Undirected
210419,3,76016,Undirected
210858,1,76016,Undirected
211815,1,76016,Undirected
249225,3,76016,Undirected
249231,1,76016,Undirected
249257,1,76016,Undirected
249314,1,76016,Undirected
353250,1,76016,Undirected
379945,1,76016,Undirected
388218,1,76016,Undirected
392337,1,76016,Undirected
435768,1,76016,Undirected
436225,1,76016,Undirected
104883,1,87305,Undirected
108345,1,87305,Undirected
157879,1,87305,Undirected
208110,3,87305,Undirected
208135,5,87305,Undirected
208187,1,87305,Undirected
208219,1,87305,Undirected
208232,1,87305,Undirected
208289,2,87305,Undirected
208382,3,87305,Undirected
208447,5,87305,Undirected
208647,1,87305,Undirected
208782,1,87305,Undirected
208795,2,87305,Undirected
208893,2,87305,Undirected
209024,1,87305,Undirected
209070,5,87305,Undirected
209601,1,87305,Undirected
209966,1,87305,Undirected
210266,8,87305,Undirected
210267,1,87305,Undirected
210280,4,87305,Undirected
210327,2,87305,Undirected
210343,1,87305,Undirected
210351,3,87305,Undirected
210387,1,87305,Undirected
210415,1,87305,Undirected
210427,1,87305,Undirected
210481,1,87305,Undirected
210719,1,87305,Undirected
210847,1,87305,Undirected
211066,1,87305,Undirected
211224,1,87305,Undirected
212226,1,87305,Undirected
334364,2,87305,Undirected
208075,25,101725,Undirected
208095,7,101725,Undirected
208128,3,101725,Undirected
208256,2,101725,Undirected
208330,6,101725,Undirected
208370,7,101725,Undirected
208440,1,101725,Undirected
209813,1,101725,Undirected
128101,2,128088,Undirected
128103,1,128088,Undirected
128115,3,128088,Undirected
128116,1,128088,Undirected
128134,1,128088,Undirected
128135,3,128088,Undirected
128136,2,128088,Undirected
128137,3,128088,Undirected
128138,1,128088,Undirected
128191,2,128088,Undirected
128200,2,128088,Undirected
128220,1,128088,Undirected
