name,h_index,organization_name,id,publication_num
"Rudakova, Larisa V.",4,Perm National Research Polytechnic University,33052,37
"Kravtsova, E. V.",0,Don State Agrarian University,33077,1
"Samutin, N. M.",3,Federal Medical-Biological Agency,41953,15
"Karmanova, S. V.",0,Perm National Research Polytechnic University,49673,1
"Glushankova, Irina",3,Perm National Research Polytechnic University,50052,30
"Yasnitsky, Vitaliy Leonidovich",3,Perm National Research Polytechnic University,55999,5
"Yasnitsky, Leonid N.",0,Higher School of Economics,59088,1
"Magaril, Elena Romenovna",12,Ural Federal University,63135,74
"Ovchinnikov, A. A.",1,Perm National Research Polytechnic University,68755,4
"Morozov, Evgeniy Aleksandrovich",2,Perm National Research Polytechnic University,75838,22
"Morozova, A. R.",0,Perm National Research Polytechnic University,75873,2
"Efimov, I. N.",0,Kalashnikov Izhevsk State Technical University,76013,1
"Mingaleva, Zh A.",13,Perm National Research Polytechnic University,76016,69
"Selezneva, A.",1,Kalashnikov Izhevsk State Technical University,76024,1
"Bunakov, Oleg A.",6,Kazan Volga Region Federal University,83384,27
"Kuchumov, Alex",6,Perm National Research Polytechnic University,87305,30
"Kondratev, Nikita S.",5,Perm National Research Polytechnic University,101725,28
"Vedeneev, Vasily V.",12,Lomonosov Moscow State University,104883,65
"Ivanov, Oleg O.",2,Lomonosov Moscow State University,108345,9
"Oborin, Matvey S.",4,Plekhanov Russian University of Economics,114634,24
"Danilina, Elena Ivanova",4,Russian University of Transport,127178,17
"Putilov, Ivan S.",4,Perm National Research Polytechnic University,128088,26
"Chernykh, Irina Aleksandrovna",3,Perm National Research Polytechnic University,128100,17
"Gurbatova, Irina P.",3,Lukoil,128101,13
"Cherepanov, Sergey S.",5,Lukoil,128103,10
"Lyadova, N. A.",3,Lukoil,128115,13
"Popov, Nikita A.",2,Lukoil,128116,8
"Barkovsky, Nikolay N.",2,Lukoil,128134,6
"Kochnev, Aleksander A.",5,Perm National Research Polytechnic University,128135,19
"Gabnasyrov, A. V.",2,Lukoil,128136,6
"Potekhin, D. V.",1,Lukoil,128137,8
"Mengaliev, Alexander G.",3,Perm National Research Polytechnic University,128138,7
"Filippov, Evgeniy V.",3,Lukoil,128161,6
"Yakimov, O. I.",0,Lukoil,128191,4
"Chukhlov, Andrey Sergeevich",1,Lukoil,128196,4
"Kozyrev, Nikita D.",3,Perm National Research Polytechnic University,128200,9
"Shilov, Aleksandr Vladimirovich",1,Lukoil,128211,4
"Rekhachev, Pavel N.",1,Lukoil,128220,3
"Serkin, Maksim F.",2,Lukoil,128226,8
"Cherepanova, N. A.",1,Lukoil,128243,7
"Chizhov, Denis B.",1,Lukoil,128281,3
"Nevolin, Anton I.",0,Lukoil,128329,2
"Soloviev, S. I.",1,Lukoil,128352,2
"Barkovskij, N. N.",1,Lukoil,128371,2
"Nikulin, Sergei Evgenyevich",0,Lukoil,128384,2
"Baryakh, V. A.",1,Lukoil,128388,5
"Nazarov, A. Yu",1,Lukoil,128393,4
"Raznitsyn, Alexandr V.",1,Perm National Research Polytechnic University,128431,2
"Poplygina, Irina Sergeevna",2,Perm National Research Polytechnic University,128436,2
"Zhigalov, Denis Nikolaevich",1,Perm National Research Polytechnic University,128441,2
"Gulyaeva, Anastasiya A.",1,Lukoil,128445,1
"Kuznetsova, Elena Aleksandrovna",0,Lukoil,128470,1
"Savchik, M. B.",1,Lukoil,128471,3
"Novikov, Vladimir A.",1,Perm National Research Polytechnic University,128506,3
"Solovjev, S. I.",1,Lukoil,128539,1
"Beslik, Artyom Vladimirovich",1,Lukoil,128543,1
"Pyatunina, E. V.",1,Lukoil,128564,3
"Varushkin, Stanislav V.",1,Perm National Research Polytechnic University,128630,1
"Vinokurova, Ekaterina V.",1,Lukoil,128634,1
"Khizhniak, G. P.",4,Perm State National Research University,128645,20
"Solovyev, S. I.",1,Lukoil,128649,1
"Chumakov, G. N.",1,Lukoil,128667,3
"Pastukhov, D. V.",0,Lukoil,128676,1
"Dvinskikh, Kirill",1,Perm National Research Polytechnic University,128734,1
"Shadrin, Arsenii O.",1,Perm National Research Polytechnic University,128758,3
"Beltiukov, D. A.",0,Lukoil,128820,1
"Lapin, Kirill Sergeevich",1,Lukoil,128827,1
"Krysin, Nikolai I.",5,Perm National Research Polytechnic University,128840,21
"Mitroshin, Alexander Valentinovich",1,Lukoil,128855,1
"Chabina, T. V.",1,Lukoil,128931,2
"Mosin, A. V.",2,Lukoil,128948,3
"Ismagilov, Ruslan Faritovich",0,Lukoil,128961,1
"Nosov, M. A.",2,Perm National Research Polytechnic University,128973,6
"Danilina, Helena",2,MIREA - Russian Technological University,137726,2
"Zavodchikov, Alexander S.",1,Perm National Research Polytechnic University,145820,4
"Pavlov, Nikolai V.",1,Perm National Research Polytechnic University,157443,5
"Gordeeva, Irina V.",2,Perm National Research Polytechnic University,157879,7
"Rozhkova, Yu A.",2,Perm National Research Polytechnic University,163105,4
"Siyanov, Alexander I.",1,Perm National Research Polytechnic University,164454,5
"Polevshchikov, Ivan Sergeyevich",3,Perm National Research Polytechnic University,166530,9
"Milovich, Filipp O.",15,,171392,114
"Petrochenkov, Anton B.",10,,172620,61
"Fedoseev, Sergei A.",2,Perm National Research Polytechnic University,182532,11
"Salimova, T. A.",6,Ogarev Mordovia State University,193387,26
"Radovanovíc, Milan M.",13,,194084,107
"Rynkovskaya, Marina",5,People's Friendship University of Russia,202629,33
"Tupikova, E.",0,People's Friendship University of Russia,203063,9
"Trusov, Peter Valentinovich",13,Perm National Research Polytechnic University,208075,166
"Ablyaz, Timur Rizovich",7,Perm National Research Polytechnic University,208076,104
"Muratov, Karim Ravilevich",8,Perm National Research Polytechnic University,208077,105
"Anoshkin, Aleksander N.",10,Perm National Research Polytechnic University,208078,99
"Trushnikov, Dmitriy Nikolayevich",8,Perm National Research Polytechnic University,208079,77
"Wildemann, V. E.",11,Perm National Research Polytechnic University,208080,90
"Pisarev, Pavel V.",6,Perm National Research Polytechnic University,208081,64
"Мartyushev, D. А.",9,Perm National Research Polytechnic University,208082,59
"Galkin, Vladislav Ignatevich",7,Perm National Research Polytechnic University,208083,58
"Tashkinov, Mikhail A.",7,Perm National Research Polytechnic University,208084,49
"Gashev, Evgeniy Anatolyevich",5,Perm National Research Polytechnic University,208085,48
"Galkin, Sergei Vladislavovich",10,Perm National Research Polytechnic University,208086,55
"Turbakov, Mikhail S.",6,Perm National Research Polytechnic University,208087,54
"Shlykov, Evgeniy Sergeevich",5,Perm National Research Polytechnic University,208088,42
"Bratsun, Dmitry A.",11,Perm National Research Polytechnic University,208089,63
"Simonov, Yu Nikolaevich",5,Perm National Research Polytechnic University,208090,68
"Krivoshchekov, S. N.",7,Perm National Research Polytechnic University,208091,43
"Lobanov, D. S.",10,Perm National Research Polytechnic University,208092,40
"Fayzrakhmanov, Rustam Abubakirovich",4,Perm National Research Polytechnic University,208094,49
"Shveykin, Alexey I.",12,Perm National Research Polytechnic University,208095,40
"Volegov, Pavel S.",8,Perm National Research Polytechnic University,208096,38
"Nikhamkin, Mikhail Sh",6,Perm National Research Polytechnic University,208097,45
"Ivanova, Tanyana Nikolaevna",4,Perm National Research Polytechnic University,208098,45
"Tret’yakov, Mikhail Pavlovich",7,Perm National Research Polytechnic University,208099,43
"Kochetkov, Andrey V.",6,Perm National Research Polytechnic University,208100,44
"Lekomtsev, Aleksandr Viktorovich",5,Perm National Research Polytechnic University,208101,43
"Poplygin, Vladimir V.",6,Perm National Research Polytechnic University,208102,37
"Palchikovskiy, Vadim V.",6,Perm National Research Polytechnic University,208103,34
"Modorskii, Vladimir Ya",8,Perm National Research Polytechnic University,208104,35
"Simonov, Mikhail Y.",3,Perm National Research Polytechnic University,208105,36
"Ponomareva, Inna N.",6,Perm National Research Polytechnic University,208106,38
"Tyurin, Sergey Feofentovich",6,Perm National Research Polytechnic University,208107,34
"Yuzhakov, Aleksandr A.",3,Perm National Research Polytechnic University,208108,45
"Asnin, Leonid D.",16,Perm National Research Polytechnic University,208109,73
"Nyashin, Yu Iv",8,Perm National Research Polytechnic University,208110,54
"Ignatova, Anna M.",3,,208111,46
"Pan'kov, Andrey A.",6,Perm National Research Polytechnic University,208112,47
"Shishlyannikov, Dmitriy I.",6,Perm National Research Polytechnic University,208113,31
"Trufanova, Nataliia Mihailovna",4,Perm National Research Polytechnic University,208114,64
"Kostarev, S. N.",5,Perm National Research Polytechnic University,208115,38
"Riabokon, Evgenii P.",5,Perm National Research Polytechnic University,208116,31
"Kashnikov, Yu A.",6,Perm National Research Polytechnic University,208117,47
"Belenkiy, Vladimir Ya",8,Perm National Research Polytechnic University,208118,44
"Tretyakova, Tatyana V.",8,Perm National Research Polytechnic University,208119,32
"Kokoulin, Andrey N.",5,Perm National Research Polytechnic University,208120,31
"Ilyushin, Pavel Yu",5,Perm National Research Polytechnic University,208121,32
"Stolbov, Valerii Yu",4,Perm National Research Polytechnic University,208122,39
"Khramtsov, I. V.",7,Perm National Research Polytechnic University,208123,27
"Kavalerov, B. V.",5,Perm National Research Polytechnic University,208124,30
"Perminov, Anatolii Victorovich",6,Perm National Research Polytechnic University,208125,27
"Shipunov, Gleb S.",6,Perm National Research Polytechnic University,208126,26
"Sliusar, Natalia N.",4,Perm National Research Polytechnic University,208127,27
"Yants, Anton Yu",5,Perm National Research Polytechnic University,208128,27
"Oglezneva, Svetlana Arkadjevna",3,Perm National Research Polytechnic University,208129,49
